algorithm,N,alpha,F1,stream_len,space,max_space,update_time_s,time_per_update_us,mean_absolute_error,max_absolute_error,median_absolute_error,mean_relative_error,max_relative_error,median_relative_error,nrmse,weighted_mean_rel_error,hh_precision,hh_recall,hh_f1,num_true_hh,num_est_hh
LearnedISS±,500000,4.0,71429,499999,400,400,0.9836458750069141,1.9672956846051977,2.1833302417609595,84.0,1.0,3.0566439986013516e-05,0.0011759929440423357,1.3999916000503996e-05,5.336036425470924e-05,5.0185981766412106e-05,1.0,1.0,1.0,8,8
MisraGries,500000,8.0,33334,499998,517,800,0.06257633300265297,0.12515316661797243,2.090074104999478,25.0,1.0,6.270096913060173e-05,0.000749985000299994,2.999940001199976e-05,0.0001196742661867446,0.00042821907106586974,1.0,0.8888888888888888,0.9411764705882353,9,8
LazySS±,500000,8.0,33334,499998,800,800,0.38317375001497567,0.766350565432213,2.9838221480012526,25.0,1.0,8.951287418255393e-05,0.000749985000299994,2.999940001199976e-05,0.00018567945252928852,8.868335263042144e-05,1.0,1.0,1.0,9,9
SS±,500000,8.0,33334,499998,800,800,0.3821432080003433,0.7642894731585792,2.9838221480012526,25.0,1.0,8.951287418255393e-05,0.000749985000299994,2.999940001199976e-05,0.00018567945252928852,8.868335263042144e-05,1.0,1.0,1.0,9,9
DoubleSS±,500000,8.0,33334,499998,800,800,2.870200167002622,5.7404232956984265,16.238805970149254,461.0,1.0,0.0004871544360157573,0.01382972340553189,2.999940001199976e-05,0.0024282324766147895,0.0007193277266032048,0.02903225806451613,1.0,0.05642633228840126,9,310
IntegratedSS±,500000,8.0,33334,499998,800,800,0.6026808330207132,1.2053664875073764,2.9838221480012526,25.0,1.0,8.951287418255393e-05,0.000749985000299994,2.999940001199976e-05,0.00018567945252928852,8.868335263042144e-05,1.0,1.0,1.0,9,9
CountMin,500000,8.0,33334,499998,1360,1360,0.6543519579572603,1.3087091507511237,51.810666944995305,137.0,51.0,0.0015542889225714077,0.004109917801643967,0.0015299694006119878,0.0015962981269478425,0.0015351909917462538,0.8181818181818182,1.0,0.9,9,11
α-CountMin,500000,8.0,33334,499998,4350,4350,0.29393666703253984,0.587875685567822,5.026823922346311,79.0,4.0,0.0001508017016363566,0.002369952600947981,0.00011999760004799904,0.0001901299952352495,0.00013736870519684465,1.0,1.0,1.0,9,9
CountSketch,500000,8.0,33334,499998,150000,150000,1.0820377499912865,2.1640841563191984,0.04321052082246112,7.0,0.0,1.2962896988798562e-06,0.00020999580008399833,0.0,7.161491325075384e-06,1.8503259862204208e-06,1.0,1.0,1.0,9,9
α-CountSketch,500000,8.0,33334,499998,60000,60000,0.4749041250324808,0.9498120493131589,0.911700240058449,1481.0,0.0,2.735046019254962e-05,0.044429111417771644,0.0,0.0004926754052736585,4.0798068060958336e-05,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,9
