dataset,algorithm,alpha,N,F1,distinct,space,max_space,update_time_s,time_per_update_us,mean_absolute_error,max_absolute_error,median_absolute_error,mean_relative_error,max_relative_error,median_relative_error,nrmse,weighted_mean_rel_error,hh_precision,hh_recall,hh_f1,num_true_hh,num_est_hh
Uniform,α-CountSketch,1.5,499998,250000,49665,120000,120000,0.8510827500140294,1.7021723087172937,2.859820799355683,15.0,3.0,1.1439283197422732e-05,6e-05,1.2e-05,1.4104892468336666e-05,1.1495024e-05,1.0,1.0,1.0,0,0
Uniform,LearnedISS±,1.5,499998,250000,49665,150,150,2.7066029160050675,5.413227484920075,6.423437028088191,579.0,5.0,2.569374811235276e-05,0.002316,2e-05,0.00011529561006644608,3.0775072e-05,1.0,1.0,1.0,0,0
Binomial,MisraGries,1.5,499998,250000,19,19,150,0.049767250020522624,0.09953489818063797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,11
Binomial,LazySS±,1.5,499998,250000,19,19,150,0.05130791699048132,0.10261624444594042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,11
Binomial,SS±,1.5,499998,250000,19,19,150,0.05159183300565928,0.10318407874763355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,11
Binomial,DoubleSS±,1.5,499998,250000,19,38,150,0.05388533300720155,0.1077710970987915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,11
Binomial,IntegratedSS±,1.5,499998,250000,19,19,150,0.05574487498961389,0.11149019594001154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,11
Binomial,CountMin,1.5,499998,250000,19,1360,1360,0.6028653749963269,1.2057355729349455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,11
Binomial,α-CountMin,1.5,499998,250000,19,1632,1632,0.510891999991145,1.0217880871346383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,11
Binomial,CountSketch,1.5,499998,250000,19,150000,150000,1.0262474999763072,2.052503209965454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,11
Binomial,α-CountSketch,1.5,499998,250000,19,120000,120000,0.8352875420241617,1.6705817663753888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,11
Binomial,LearnedISS±,1.5,499998,250000,19,19,150,0.14191850001225248,0.2838381353770465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,11
MAWI,MisraGries,1.5,499998,250000,39988,146,150,0.08553962496807799,0.171079934255893,4.572896869060719,1216.0,1.0,1.8291587476242876e-05,0.004864,4e-06,0.00018078821453168365,0.002516204496,1.0,0.5294117647058824,0.6923076923076924,17,9
MAWI,LazySS±,1.5,499998,250000,39988,150,150,0.5014994160155766,1.0030028440425292,5.69258277483245,1255.0,1.0,2.2770331099329795e-05,0.00502,4e-06,0.00023520114683785485,0.000705599456,0.9444444444444444,1.0,0.9714285714285714,17,18
MAWI,SS±,1.5,499998,250000,39988,150,150,0.47284720902098343,0.9456982008347702,5.595628688606582,1222.0,1.0,2.238251475442633e-05,0.004888,4e-06,0.00022984057606767813,0.000635559136,0.9444444444444444,1.0,0.9714285714285714,17,18
MAWI,DoubleSS±,1.5,499998,250000,39988,150,150,0.5117330000502989,1.0234700939809738,9.496448934680403,4428.0,1.0,3.7985795738721615e-05,0.017712,4e-06,0.0006246262852289036,0.002512730848,0.21621621621621623,0.9411764705882353,0.3516483516483517,17,74
MAWI,IntegratedSS±,1.5,499998,250000,39988,150,150,0.7858906660112552,1.5717876191729871,5.595628688606582,1222.0,1.0,2.238251475442633e-05,0.004888,4e-06,0.00022984057606767813,0.000635559136,0.9444444444444444,1.0,0.9714285714285714,17,18
MAWI,CountMin,1.5,499998,250000,39988,1360,1360,1.1468141250079498,2.293637424565598,262.204511353406,1912.0,247.0,0.0010488180454136242,0.007648,0.000988,0.0010980609413640413,0.001050754336,0.8947368421052632,1.0,0.9444444444444444,17,19
MAWI,α-CountMin,1.5,499998,250000,39988,1632,1632,0.947738750022836,1.895485081986,164.8990697209163,1952.0,152.0,0.0006595962788836652,0.007808,0.000608,0.0007044270463568898,0.000674104992,1.0,1.0,1.0,17,17
MAWI,CountSketch,1.5,499998,250000,39988,150000,150000,2.0964687500381842,4.1929542718934565,0.44418325497649297,806.0,0.0,1.7767330199059717e-06,0.003224,0.0,1.6428638715700558e-05,1.900592e-06,1.0,1.0,1.0,17,17
MAWI,α-CountSketch,1.5,499998,250000,39988,120000,120000,1.7060985420248471,3.4122107328926257,0.5953536060818245,588.0,0.0,2.381414424327298e-06,0.002352,0.0,1.487092274551216e-05,2.566704e-06,1.0,1.0,1.0,17,17
MAWI,LearnedISS±,1.5,499998,250000,39988,150,150,0.7574722080025822,1.5149504758070675,2.460888266479944,513.0,1.0,9.843553065919777e-06,0.002052,4e-06,4.6577887993069936e-05,0.000117277856,1.0,1.0,1.0,17,17
Zipf_s1.0,MisraGries,2.0,499999,166667,26335,70,200,0.1337702920427546,0.26754111916774753,4.800797417884944,636.0,1.0,2.880472689785587e-05,0.003815992368015264,5.999988000024e-06,0.00015748894853638426,0.0015646297014749355,1.0,0.75,0.8571428571428571,8,6
Zipf_s1.0,LazySS±,2.0,499999,166667,26335,200,200,1.0225103329867125,2.0450247560229373,8.419707613442187,743.0,1.0,5.0518144644363835e-05,0.004457991084017832,5.999988000024e-06,0.00034889020729098687,0.0005836307454746836,0.8888888888888888,1.0,0.9411764705882353,8,9
Zipf_s1.0,SS±,2.0,499999,166667,26335,200,200,0.9903810000396334,1.98076596161119,7.516309094361117,632.0,1.0,4.509776437063796e-05,0.003791992416015168,5.999988000024e-06,0.00029442054837155746,0.0003330656637360128,1.0,1.0,1.0,8,8
Zipf_s1.0,DoubleSS±,2.0,499999,166667,26335,200,200,1.0048488330212422,2.0097016854458554,12.5450161382191,2751.0,1.0,7.526994628942201e-05,0.016505966988066025,5.999988000024e-06,0.0008973312616837651,0.0012864695421166857,0.08695652173913043,1.0,0.16,8,92
Zipf_s1.0,IntegratedSS±,2.0,499999,166667,26335,200,200,1.5821159999468364,3.1642383283703293,7.516309094361117,632.0,1.0,4.509776437063796e-05,0.003791992416015168,5.999988000024e-06,0.00029442054837155746,0.0003330656637360128,1.0,1.0,1.0,8,8
Zipf_s1.0,CountMin,2.0,499999,166667,26335,1360,1360,0.6536031659925357,1.3072089464029641,266.84902221378394,748.0,273.0,0.0016010909311008415,0.004487991024017952,0.001637996724006552,0.0016397329962450334,0.0016140506277910326,0.8,1.0,0.888888888888889,8,10
Zipf_s1.0,α-CountMin,2.0,499999,166667,26335,2176,2176,0.5525242909789085,1.1050507920594013,122.73464970571483,424.0,120.0,0.0007364064254214382,0.002543994912010176,0.00071999856000288,0.0007543028715555487,0.0007319857560540478,1.0,1.0,1.0,8,8
Zipf_s1.0,CountSketch,2.0,499999,166667,26335,150000,150000,1.07661420898512,2.153232724435689,0.35561040440478453,53.0,0.0,2.133658159112389e-06,0.000317999364001272,0.0,5.9581486417623935e-06,2.754060983745049e-06,1.0,1.0,1.0,8,8
Zipf_s1.0,α-CountSketch,2.0,499999,166667,26335,120000,120000,0.8745739579899237,1.7491514142826758,0.7398139358268464,41.0,0.0,4.438874737211604e-06,0.000245999508000984,0.0,9.722611958884914e-06,5.983788064823806e-06,1.0,1.0,1.0,8,8
Zipf_s1.0,LearnedISS±,2.0,499999,166667,26335,200,200,1.0589159579831176,2.1178361516385387,3.3925954053540917,196.0,1.0,2.035553172106111e-05,0.001175997648004704,5.999988000024e-06,5.130732692339809e-05,7.668786524823225e-05,1.0,1.0,1.0,8,8
Zipf_s1.5,MisraGries,2.0,499999,166667,3745,116,200,0.05423000000882894,0.10846021693809176,5.957543391188251,111.0,1.0,3.574518885675179e-05,0.000665998668002664,5.999988000024e-06,0.00010971377214415756,0.000621748221004629,1.0,0.9090909090909091,0.9523809523809523,11,10
Zipf_s1.5,LazySS±,2.0,499999,166667,3745,200,200,0.12126966600771993,0.24253981709507408,5.980240320427236,111.0,1.0,3.5881370159823106e-05,0.000665998668002664,5.999988000024e-06,0.00011039485079008168,1.4207703169130493e-05,1.0,1.0,1.0,11,11
Zipf_s1.5,SS±,2.0,499999,166667,3745,200,200,0.12128833396127447,0.2425771530768551,5.980240320427236,111.0,1.0,3.5881370159823106e-05,0.000665998668002664,5.999988000024e-06,0.00011039485079008168,1.4207703169130493e-05,1.0,1.0,1.0,11,11
Zipf_s1.5,DoubleSS±,2.0,499999,166667,3745,200,200,0.19621458294568583,0.3924299507512732,13.579706275033377,642.0,1.0,8.147807469405088e-05,0.0038519922960154078,5.999988000024e-06,0.0004484277293982537,8.940531837836886e-05,1.0,1.0,1.0,11,11
Zipf_s1.5,IntegratedSS±,2.0,499999,166667,3745,200,200,0.171618958003819,0.34323860248484295,5.980240320427236,111.0,1.0,3.5881370159823106e-05,0.000665998668002664,5.999988000024e-06,0.00011039485079008168,1.4207703169130493e-05,1.0,1.0,1.0,11,11
Zipf_s1.5,CountMin,2.0,499999,166667,3745,1360,1360,0.6119349159998819,1.2238722797443233,25.180240320427238,162.0,23.0,0.0001510811397602839,0.000971998056003888,0.000137999724000552,0.00017315679463247207,0.0001450234039058043,1.0,1.0,1.0,11,11
Zipf_s1.5,α-CountMin,2.0,499999,166667,3745,2176,2176,0.5250346669927239,1.0500714341283162,8.848865153538052,92.0,8.0,5.3093084735058835e-05,0.000551998896002208,4.7999904000192e-05,6.259842407676959e-05,5.4977072091491724e-05,1.0,1.0,1.0,11,11
Zipf_s1.5,CountSketch,2.0,499999,166667,3745,150000,150000,1.0317872920422815,2.0635787112419854,0.004806408544726302,2.0,0.0,2.8838393591570626e-08,1.1999976000048e-05,0.0,4.384695802059613e-07,2.303990784027648e-09,1.0,1.0,1.0,11,11
Zipf_s1.5,α-CountSketch,2.0,499999,166667,3745,120000,120000,0.839528291951865,1.6790599420236139,0.04299065420560748,7.0,0.0,2.5794340934682613e-07,4.1999916000168e-05,0.0,1.4509302263677645e-06,1.1581153675338974e-07,1.0,1.0,1.0,11,11
Zipf_s1.5,LearnedISS±,2.0,499999,166667,3745,200,200,0.2645640000118874,0.5291290582818914,2.684646194926569,81.0,1.0,1.6107844953869507e-05,0.000485999028001944,5.999988000024e-06,3.324079501693643e-05,4.540913836326491e-06,1.0,1.0,1.0,11,11
Zipf_s2.0,MisraGries,2.0,499999,166667,575,154,200,0.05172170797595754,0.10344362283916075,3.146086956521739,9.0,1.0,1.887648398616246e-05,5.3999892000216e-05,5.999988000024e-06,2.6467449698559883e-05,5.380279278861363e-05,1.0,1.0,1.0,7,7
Zipf_s2.0,LazySS±,2.0,499999,166667,575,200,200,0.05802091700024903,0.11604206608463023,2.2330434782608695,9.0,1.0,1.3398234073097071e-05,5.3999892000216e-05,5.999988000024e-06,2.016691498809509e-05,1.2110351558545325e-07,1.0,1.0,1.0,7,7
Zipf_s2.0,SS±,2.0,499999,166667,575,200,200,0.05829891603207216,0.11659806526027483,2.2330434782608695,9.0,1.0,1.3398234073097071e-05,5.3999892000216e-05,5.999988000024e-06,2.016691498809509e-05,1.2110351558545325e-07,1.0,1.0,1.0,7,7
Zipf_s2.0,DoubleSS±,2.0,499999,166667,575,200,200,0.067926624964457,0.1358535216359573,6.791304347826087,79.0,1.0,4.074774459146734e-05,0.000473999052001896,5.999988000024e-06,0.00010787768624096055,1.137415450333649e-06,1.0,1.0,1.0,7,7
Zipf_s2.0,IntegratedSS±,2.0,499999,166667,575,200,200,0.06687054201029241,0.1337413515032878,2.2330434782608695,9.0,1.0,1.3398234073097071e-05,5.3999892000216e-05,5.999988000024e-06,2.016691498809509e-05,1.2110351558545325e-07,1.0,1.0,1.0,7,7
Zipf_s2.0,CountMin,2.0,499999,166667,575,1360,1360,0.6131543749943376,1.2263112026110803,0.9356521739130435,7.0,1.0,5.613901815674629e-06,4.1999916000168e-05,5.999988000024e-06,8.839419643406573e-06,5.076051695772913e-06,1.0,1.0,1.0,7,7
